,Sample <- row.names(meta),beforeLengthFilter,beforeDecontam,afterDecontam,fungiOnly,nonEmpty,afterPrevFilter,afterLocationFilter_Final
101,Se-Po-17,23456,23456,23456,23456,23456,23456,23456
102,Se-Po-18,44237,44237,44237,44237,44237,43976,43976
103,Se-Po-19,56020,56020,56020,56020,56020,55702,55702
104,Se-Po-20,45913,45913,45913,45913,45913,45798,45798
105,SIS-Po-01,38462,38462,38462,38462,38462,38462,38462
106,SIS-Po-02,41943,41943,41943,41943,41943,41840,41840
107,SIS-Po-03,61750,61750,61750,61750,61750,61747,61747
108,SIS-Po-04,10445,10445,10445,10445,10445,10310,10310
109,SIS-Po-05,28167,28167,28167,28167,28167,28160,28160
110,SIS-Po-06,41615,41615,41615,41615,41615,41615,41615
111,SIS-Po-07,34139,34139,34139,34139,34139,34139,34139
112,SIS-Po-08,542,542,542,542,542,264,264
113,SIS-Po-09,55155,55155,55155,55138,55138,24681,24681
114,SIS-Po-10,58999,58999,58999,58999,58999,21642,21642
115,SIS-Po-11,47293,47293,47293,47293,47293,19199,19199
116,SIS-Po-12,45521,45521,45521,45521,45521,44525,44525
117,SIS-Po-13,13004,13004,13004,13004,13004,12823,12823
118,SIS-Po-14,54467,54467,54467,54467,54467,53300,53300
119,SIS-Po-15,40858,40858,40858,40858,40858,39986,39986
120,SIS-Po-16,75315,75315,75315,75315,75315,75315,75315
121,SIS-Po-17,50743,50743,50743,50743,50743,50743,50743
122,SIS-Po-18,35964,35964,35964,35927,35927,29754,29754
123,SIS-Po-19,87566,87566,87566,87566,87566,87532,87532
124,SIS-Po-20,42830,42830,42830,42830,42830,42227,42227
125,SS-Po-01A,47273,47273,47273,47273,47273,47261,47261
126,SS-Po-02A,43703,43703,43703,43702,43702,43441,43441
127,SS-Po-03A,35196,35196,35196,35196,35196,35196,35196
128,SS-Po-04A,40517,40517,40517,40517,40517,40190,40190
129,SS-Po-05A,18447,18447,18447,18447,18447,18045,18045
130,SS-Po-06A,46359,46359,46359,46359,46359,45726,45726
131,SS-Po-07A,29215,29215,29215,29215,29215,29083,29083
132,SS-Po-08A,26205,26205,26205,26205,26205,26177,26177
133,SS-Po-09A,21675,21675,21675,21675,21675,19671,19671
134,SS-Po-10A,2531,2531,2531,2531,2531,557,557
135,SS-Po-11A,24760,24760,24760,24760,24760,24248,24248
136,SS-Po-12A,35754,35754,35754,35754,35754,35734,35734
137,SS-Po-13A,25059,25059,25059,25059,25059,24910,24910
138,SS-Po-14A,10913,10913,10913,10834,10834,6960,6960
139,SS-Po-15A,45314,45314,45314,45314,45314,45311,45311
140,SS-Po-16A,42889,42889,42889,42889,42889,42867,42867
141,SS-Po-17A,25312,25312,25312,25257,25257,25257,25257
142,SS-Po-18A,4538,4538,4538,4538,4538,4087,4087
143,SS-Po-19A,41428,41428,41428,41428,41428,41356,41356
144,SS-Po-20A,36014,36014,36014,36014,36014,35981,35981
