"","input","filtered","nonchim","total.loss.proportion"
"SIS-Po-17",57592,50743,50743,0.118922767050979
"SIS-Po-18",44814,38007,35964,0.151894497255322
"SIS-Po-19",100908,87566,87566,0.13221944741745
"SIS-Po-20",49248,42830,42830,0.130320012995452
"SS-Po-01A",54242,47273,47273,0.128479775819476
"SS-Po-02A",50854,43703,43703,0.140618240453062
"SS-Po-03A",40781,35196,35196,0.136951031117432
"SS-Po-04A",46400,40528,40517,0.126551724137931
"SS-Po-05A",21171,18447,18447,0.128666572197818
"SS-Po-06A",67462,58154,46359,0.137973970531559
"SS-Po-07A",35544,31165,29215,0.123199414809813
"SS-Po-08A",33902,29271,26205,0.13659961064244
"SS-Po-09A",26198,22583,21675,0.137987632643713
"SS-Po-10A",2733,2531,2531,0.0739114526161727
"SS-Po-11A",29235,25283,24760,0.135180434410809
"SS-Po-12A",46536,41094,35754,0.11694172253739
"SS-Po-13A",30094,26782,25059,0.110055160497109
"SS-Po-14A",13041,11518,10913,0.116785522582624
"SS-Po-15A",51351,45314,45314,0.117563435960351
"SS-Po-16A",49390,42889,42889,0.13162583518931
"SS-Po-17A",29247,25312,25312,0.134543713885185
"SS-Po-18A",5353,4538,4538,0.15225107416402
"SS-Po-19A",47850,41428,41428,0.134211076280042
"SS-Po-20A",40411,36014,36014,0.108807007992873
