"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","fractionOfRawDataInFinal_seqs"
"79","Pa-KU-20_1.fastq.gz",152,134,134,134,0.881578947368421
"80","Pa-KU-20_2.fastq.gz",152,134,134,134,0.881578947368421
"81","Pa-RA-01_1.fastq.gz",5046,5006,5006,5006,0.992072929052715
"82","Pa-RA-01_2.fastq.gz",5046,5006,5006,5006,0.992072929052715
"83","Pa-RA-02_1.fastq.gz",1954,1933,1933,1933,0.989252814738997
"84","Pa-RA-02_2.fastq.gz",1954,1933,1933,1933,0.989252814738997
"85","Pa-RA-03_1.fastq.gz",934,914,914,914,0.978586723768737
"86","Pa-RA-03_2.fastq.gz",934,914,914,914,0.978586723768737
"87","Pa-RA-04_1.fastq.gz",5728,5690,5690,5690,0.99336592178771
"88","Pa-RA-04_2.fastq.gz",5728,5690,5690,5690,0.99336592178771
"89","Pa-RA-05_1.fastq.gz",2789,2774,2774,2774,0.994621728217999
"90","Pa-RA-05_2.fastq.gz",2789,2774,2774,2774,0.994621728217999
"91","Pa-RA-06_1.fastq.gz",6152,6126,6126,6126,0.995773732119636
"92","Pa-RA-06_2.fastq.gz",6152,6126,6126,6126,0.995773732119636
"93","Pa-RA-07_1.fastq.gz",17144,17066,17066,17066,0.995450303313112
"94","Pa-RA-07_2.fastq.gz",17144,17066,17066,17066,0.995450303313112
"95","Pa-RA-08_1.fastq.gz",6534,6495,6495,6495,0.994031221303949
"96","Pa-RA-08_2.fastq.gz",6534,6495,6495,6495,0.994031221303949
"97","Pa-RA-09_1.fastq.gz",5238,5189,5189,5189,0.990645284459717
"98","Pa-RA-09_2.fastq.gz",5238,5189,5189,5189,0.990645284459717
"99","Pa-RA-10_1.fastq.gz",3261,3239,3239,3239,0.993253603189206
"100","Pa-RA-10_2.fastq.gz",3261,3239,3239,3239,0.993253603189206
"101","Pa-RA-11_1.fastq.gz",2394,2374,2374,2374,0.991645781119465
"102","Pa-RA-11_2.fastq.gz",2394,2374,2374,2374,0.991645781119465
"103","Pa-RA-12_1.fastq.gz",6145,6114,6114,6114,0.994955248169243
