,Adaptor and Primer Removal,,,,,,Filtering,,,,,,,,,,,
,samples,raw_seqs,prefiltered_seqs,adaptorremoved_seqs,primerremoved_seqs,fractionOfRawDataInFinal_seqs,input,filtered,nonchim,total.loss.proportion,beforeLengthFilter,beforeDecontam,afterDecontam,fungiOnly,nonEmpty,afterPrevFilter,afterLocationFilter_Final,Final Fraction Remaining
38,Jo-Po-18_1.fastq.gz,60669,60605,60605,60605,0.998945096,60605,54027,45664,0.108538899,45664,45664,45664,45664,45664,45431,45431,0.748833836
39,Jo-Po-19_1.fastq.gz,26892,26862,26862,26862,0.998884427,26862,23305,23062,0.132417542,23062,23062,23062,23062,23062,20094,20094,0.747211066
40,Jo-Po-20_1.fastq.gz,58661,58604,58604,58604,0.999028315,58604,51486,44070,0.121459286,44070,44070,44070,44070,44070,39976,39976,0.681474915
41,Ku-Po-01_1.fastq.gz,4675,4631,4631,4631,0.990588235,4631,3489,3489,0.246599007,3489,3489,3489,3379,3379,2273,2273,0.486203209
42,Ku-Po-02_1.fastq.gz,11904,11876,11876,11876,0.997647849,11876,9888,9791,0.16739643,9791,9791,9791,9791,9791,3123,3123,0.26234879
43,Ku-Po-03_1.fastq.gz,10619,10600,10600,10600,0.998210754,10600,7173,7173,0.323301887,7173,7173,7173,7173,7173,54,54,0.005085225
44,Ku-Po-04_1.fastq.gz,36428,36359,36359,36359,0.998105853,36359,32075,31867,0.117825023,31867,31867,31867,31867,31867,27029,27029,0.741984188
45,Ku-Po-05_1.fastq.gz,21443,21426,21426,21426,0.9992072,21426,19114,18997,0.107906282,18997,18997,18997,17631,17631,15658,15658,0.730214989
46,Ku-Po-06_1.fastq.gz,7188,7174,7174,7174,0.998052309,7174,5525,5525,0.22985782,5525,5525,5525,5525,5525,3887,3887,0.540762382
47,Ku-Po-07_1.fastq.gz,46379,46330,46330,46330,0.998943487,46330,39700,39697,0.14310382,39697,39697,39697,39697,39697,38522,38522,0.830591431
48,Ku-Po-08_1.fastq.gz,46517,46455,46455,46455,0.998667154,46455,39144,39144,0.157378108,39144,39144,39144,39144,39144,545,545,0.011716147
49,Ku-Po-09_1.fastq.gz,34150,34103,34103,34103,0.998623719,34103,29616,28848,0.131572002,28848,28848,28848,28838,28838,28469,28469,0.833645681
50,Ku-Po-10_1.fastq.gz,53798,53730,53730,53730,0.998736012,53730,46885,45733,0.12739624,45733,45733,45733,45733,45733,45655,45655,0.848637496
51,Ku-Po-11_1.fastq.gz,52798,52746,52746,52746,0.999015114,52746,45744,44756,0.132749403,44756,44756,44756,44756,44756,44652,44652,0.845713853
52,Ku-Po-12_1.fastq.gz,47043,46992,46992,46992,0.998915885,46992,41986,40852,0.106528771,40852,40852,40852,40852,40852,40653,40653,0.864166826
53,Ku-Po-13_1.fastq.gz,59557,59484,59484,59484,0.998774283,59484,52466,50938,0.117981306,50938,50938,50938,50938,50938,50641,50641,0.850294676
54,Ku-Po-14_1.fastq.gz,50927,50850,50850,50850,0.998488032,50850,43885,43398,0.136971485,43398,43398,43398,43201,43201,40731,40731,0.799791859
55,Ku-Po-15_1.fastq.gz,62849,62783,62783,62783,0.998949864,62783,55095,49385,0.12245353,49385,49385,49385,49385,49385,49385,49385,0.785772248
56,Ku-Po-16_1.fastq.gz,54276,54214,54214,54214,0.99885769,54214,48970,45653,0.096727782,45653,45653,45653,45653,45653,45648,45648,0.841034711
57,Ku-Po-17_1.fastq.gz,59831,59753,59753,59753,0.998696328,59753,53230,47779,0.109166067,47779,47779,47779,47779,47779,47768,47768,0.79838211
58,Ku-Po-18_1.fastq.gz,70163,70080,70080,70080,0.99881704,70080,61483,57163,0.122674087,57163,57163,57163,57163,57163,57025,57025,0.81275031
59,Ku-Po-19_1.fastq.gz,60386,60309,60309,60309,0.99872487,60309,53318,49781,0.11591968,49781,49781,49781,49781,49781,49462,49462,0.819097142
60,Ku-Po-20_1.fastq.gz,20103,20069,20069,20069,0.99830871,20069,17820,17582,0.112063381,17582,17582,17582,17582,17582,5174,5174,0.257374521
61,Po-Blank-01_1.fastq.gz,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,NA
62,Po-Blank-02_1.fastq.gz,8,8,8,8,1,8,4,4,0.5,4,4,4,4,4,0,0,NA
63,Po-Blank-03_1.fastq.gz,6,6,6,6,1,6,3,3,0.5,3,3,3,3,3,0,0,NA
64,Po-Blank-04_1.fastq.gz,28,25,25,25,0.892857143,25,7,7,0.72,7,7,7,7,7,0,0,NA
65,Po-Blank-05_1.fastq.gz,34,29,29,29,0.852941176,29,16,16,0.448275862,16,16,16,16,16,0,0,NA
66,Po-Blank-06_1.fastq.gz,55,51,51,51,0.927272727,51,21,20,0.588235294,20,20,20,20,20,0,0,NA
67,Po-Blank-07_1.fastq.gz,1860,1853,1853,1853,0.996236559,1853,871,871,0.52995143,871,871,871,871,871,0,0,NA
68,RL-Po-01_1.fastq.gz,33237,33193,33193,33193,0.998676174,33193,28605,28605,0.138221914,28605,28605,28605,28426,28426,28079,28079,0.844811505
69,RL-Po-02_1.fastq.gz,50085,50040,50040,50040,0.999101527,50040,44035,44035,0.120003997,44035,44035,44035,43990,43990,43905,43905,0.876609763
70,RL-Po-03_1.fastq.gz,14236,14205,14205,14205,0.997822422,14205,12547,12547,0.116719465,12547,12547,12547,12547,12547,10953,10953,0.769387468
71,RL-Po-04_1.fastq.gz,32,32,32,32,1,32,28,28,0.125,28,28,28,28,28,16,16,0.5
72,RL-Po-05_1.fastq.gz,91216,91123,91123,91123,0.998980442,91123,77339,77339,0.151268066,77339,77339,77339,77339,77339,77253,77253,0.846923785
73,RL-Po-06_1.fastq.gz,48470,48412,48412,48412,0.998803384,48412,43368,43368,0.104189044,43368,43368,43368,43368,43368,42057,42057,0.867691355
74,RL-Po-07_1.fastq.gz,72983,72882,72882,72882,0.998616116,72882,62427,62410,0.143451058,62410,62410,62410,62410,62410,62271,62271,0.853226094
75,RL-Po-08_1.fastq.gz,91202,91107,91107,91107,0.998958356,91107,78148,78141,0.142239345,78141,78141,78141,78141,78141,78097,78097,0.856307976
76,RL-Po-09_1.fastq.gz,93049,92950,92950,92950,0.998936044,92950,80605,80605,0.132813341,80605,80605,80605,80605,80605,80597,80597,0.866178035
77,RL-Po-10_1.fastq.gz,76207,76134,76134,76133,0.999028961,76133,67278,58414,0.116309616,58414,58414,58414,58414,58414,58414,58414,0.766517512
78,RL-Po-11_1.fastq.gz,103183,103088,103088,103088,0.999079306,103088,92210,83370,0.105521496,83370,83370,83370,83370,83370,83357,83357,0.807855945
79,RL-Po-12_1.fastq.gz,13,13,13,13,1,13,10,10,0.230769231,10,10,10,10,10,10,10,0.769230769
80,RL-Po-13_1.fastq.gz,44095,44051,44051,44051,0.999002154,44051,38113,38113,0.134798302,38113,38113,38113,38113,38113,37853,37853,0.858442
81,RL-Po-14_1.fastq.gz,45385,45347,45347,45347,0.999162719,45347,39491,39491,0.129137539,39491,39491,39491,39491,39491,39460,39460,0.869450259
82,RL-Po-15_1.fastq.gz,51367,51316,51316,51316,0.999007145,51316,44559,44559,0.131674332,44559,44559,44559,44559,44559,44236,44236,0.861175463
83,RL-Po-16_1.fastq.gz,56512,56454,56454,56454,0.998973669,56454,49013,49013,0.131806426,49013,49013,49013,49013,49013,48632,48632,0.860560589
84,RL-Po-17_1.fastq.gz,76750,76670,76670,76670,0.998957655,76670,65680,59662,0.143341594,59662,59662,59662,59662,59662,59627,59627,0.776899023
85,RL-Po-18_1.fastq.gz,96282,96191,96191,96191,0.99905486,96191,83043,76024,0.136686384,76024,76024,76024,76024,76024,76019,76019,0.789545294
86,RL-Po-19_1.fastq.gz,112057,111953,111953,111953,0.999071901,111953,94538,85599,0.15555635,85599,85599,85599,85599,85599,85599,85599,0.763888021
87,RL-Po-20_1.fastq.gz,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA
88,Se-Po-01_1.fastq.gz,34297,34254,34254,34254,0.998746246,34254,29987,29987,0.124569393,29987,29987,29987,29977,29977,29875,29875,0.87106744
89,Se-Po-02_1.fastq.gz,42332,42281,42281,42281,0.998795238,42281,36783,36783,0.130034767,36783,36783,36783,36783,36783,36783,36783,0.868917131
90,Se-Po-03_1.fastq.gz,28428,28396,28396,28396,0.998874349,28396,25073,25073,0.117023524,25073,25073,25073,25073,25073,24878,24878,0.875123118
